scope,pattern,is_regex,priority,family_code,canonical_mnemonic,canonical_unit
base,GR,0,10,gamma_ray,GR,API
base,GR*,0,5,gamma_ray,GR,API
base,SGR,0,10,gamma_ray,SGR,API
base,CALI,0,10,caliper,CALI,in
base,BS,0,10,caliper,BS,in
base,ILD,0,10,resistivity_deep,ILD,ohm.m
base,LLD,0,10,resistivity_deep,ILD,ohm.m
base,ILM,0,10,resistivity_medium,ILM,ohm.m
base,RHOB,0,10,bulk_density,RHOB,g/cc
base,DRHOB,0,10,density_correction,DRHOB,g/cc
base,NPHI,0,10,neutron_porosity,NPHI,v/v
base,TNPH,0,10,neutron_porosity,NPHI,v/v
base,CNCF,0,10,neutron_porosity,NPHI,v/v
base,DT,0,10,sonic_p,DT,us/ft
base,DTC,0,10,sonic_p,DT,us/ft
base,DTS,0,10,sonic_s,DTS,us/ft
base,SP,0,10,sp,SP,mV
