code,display_name,group_name,base_lithology_code,source_code,source_name,svg_path,tile_width,tile_height,sort_order
sandstone,Sandstone,Sandstone,sandstone,30000,Sandstone,svg/30000.svg,64,64,1
30017,Sandstone - Glauconite,Sandstone,sandstone,30017,Glauconite,svg/30017.svg,64,64,2
30019,Sandstone - Pyrite,Sandstone,sandstone,30019,Pyrite,svg/30019.svg,64,64,3
30021,Sandstone - Mica,Sandstone,sandstone,30021,Mica,svg/30021.svg,64,64,4
30031,Sandstone - Bioclastic,Sandstone,sandstone,30031,Bioclastic,svg/30031.svg,64,64,5
30066,Sandstone - Uranium Rich,Sandstone,sandstone,30066,Uranium Rich,svg/30066.svg,64,64,6
30100,Sandstone - Calcite Cement,Sandstone,sandstone,30100,Calcite Cement,svg/30100.svg,64,64,7
30166,Sandstone - Calcite Cement Uranium,Sandstone,sandstone,30166,Calcite Cement Uranium,svg/30166.svg,64,64,8
30300,Sandstone - Siderite Cement,Sandstone,sandstone,30300,Siderite Cement,svg/30300.svg,64,64,9
30400,Sandstone - Quartz Cement,Sandstone,sandstone,30400,Quartz Cement,svg/30400.svg,64,64,10
30500,Sandstone - Kaolinite Cement,Sandstone,sandstone,30500,Kaolinite Cement,svg/30500.svg,64,64,11
31000,Sandstone - Clayey,Sandstone,sandstone,31000,Clayey,svg/31000.svg,64,64,12
32000,Sandstone - Muddy,Sandstone,sandstone,32000,Muddy,svg/32000.svg,64,64,13
32021,Sandstone - Muddy Mica,Sandstone,sandstone,32021,Muddy Mica,svg/32021.svg,64,64,14
32100,Sandstone - Clayey Calcite Cement,Sandstone,sandstone,32100,Clayey Calcite Cement,svg/32100.svg,64,64,15
33000,Sandstone - Silty,Sandstone,sandstone,33000,Silty,svg/33000.svg,64,64,16
33121,Sandstone - Silty Calcite Cement Mica,Sandstone,sandstone,33121,Silty Calcite Cement Mica,svg/33121.svg,64,64,17
33021,Sandstone - Silty Mica,Sandstone,sandstone,33021,Silty Mica,svg/33021.svg,64,64,18
33022,Sandstone - Silty Kaolinite,Sandstone,sandstone,33022,Silty Kaolinite,svg/33022.svg,64,64,19
33500,Sandstone - Silty Kaolinite Cement,Sandstone,sandstone,33500,Silty Kaolinite Cement,svg/33500.svg,64,64,20
30023,Sandstone - Carbonaceous,Sandstone,sandstone,30023,Carbonaceous,svg/30023.svg,64,64,21
siltstone,Siltstone,Siltstone,sandstone,40000,Siltstone,svg/40000.svg,64,64,22
40017,Siltstone - Glauconite,Siltstone,sandstone,40017,Glauconite,svg/40017.svg,64,64,23
40019,Siltstone - Pyrite,Siltstone,sandstone,40019,Pyrite,svg/40019.svg,64,64,24
