curve_name,age_ma,sea_level_m
Haq composite curve (binned 10 Myrs),520,57
Haq composite curve (binned 10 Myrs),510,79.9
Haq composite curve (binned 10 Myrs),500,102.81
Haq composite curve (binned 10 Myrs),490,128.72
Haq composite curve (binned 10 Myrs),480,171.65
Haq composite curve (binned 10 Myrs),470,177.19
Haq composite curve (binned 10 Myrs),460,205.43
Haq composite curve (binned 10 Myrs),450,194.89
Haq composite curve (binned 10 Myrs),440,155.25
Haq composite curve (binned 10 Myrs),430,187.34
Haq composite curve (binned 10 Myrs),420,166.62
Haq composite curve (binned 10 Myrs),410,135.9
Haq composite curve (binned 10 Myrs),400,130.44
Haq composite curve (binned 10 Myrs),390,160.98
Haq composite curve (binned 10 Myrs),380,159.14
Haq composite curve (binned 10 Myrs),370,128.55
Haq composite curve (binned 10 Myrs),360,104.83
Haq composite curve (binned 10 Myrs),350,108.24
Haq composite curve (binned 10 Myrs),340,73.9
Haq composite curve (binned 10 Myrs),330,41.18
Haq composite curve (binned 10 Myrs),320,15.96
Haq composite curve (binned 10 Myrs),310,42
Haq composite curve (binned 10 Myrs),300,68.48
Haq composite curve (binned 10 Myrs),290,45.45
Haq composite curve (binned 10 Myrs),280,47.73
Haq composite curve (binned 10 Myrs),270,37.65
Haq composite curve (binned 10 Myrs),260,-12.58
Haq composite curve (binned 10 Myrs),250,11.62
Haq composite curve (binned 10 Myrs),240,8.37
Haq composite curve (binned 10 Myrs),230,38.26
Haq composite curve (binned 10 Myrs),220,15.84
Haq composite curve (binned 10 Myrs),210,2.04
Haq composite curve (binned 10 Myrs),200,-10.74
Haq composite curve (binned 10 Myrs),190,62.7
Haq composite curve (binned 10 Myrs),180,87
Haq composite curve (binned 10 Myrs),170,119.03
Haq composite curve (binned 10 Myrs),160,121.69
Haq composite curve (binned 10 Myrs),150,143.59
Haq composite curve (binned 10 Myrs),140,101.37
Haq composite curve (binned 10 Myrs),130,139.68
Haq composite curve (binned 10 Myrs),120,141.63
Haq composite curve (binned 10 Myrs),110,148.13
Haq composite curve (binned 10 Myrs),100,222.2
Haq composite curve (binned 10 Myrs),90,234.46
Haq composite curve (binned 10 Myrs),80,223.99
Haq composite curve (binned 10 Myrs),70,214.32
Haq composite curve (binned 10 Myrs),60,194.59
Haq composite curve (binned 10 Myrs),50,174.62
Haq composite curve (binned 10 Myrs),40,124.46
Haq composite curve (binned 10 Myrs),30,51.03
Haq composite curve (binned 10 Myrs),20,56.57
Haq composite curve (binned 10 Myrs),10,60.36
Haq composite curve (binned 10 Myrs),0,20.63
Van der Meer et al. (2017),520,22.95
Van der Meer et al. (2017),510,-2.87
Van der Meer et al. (2017),500,-16.54
Van der Meer et al. (2017),490,-11.77
Van der Meer et al. (2017),480,-3.4
Van der Meer et al. (2017),470,5.7
Van der Meer et al. (2017),460,35.2
Van der Meer et al. (2017),450,80.67
Van der Meer et al. (2017),440,71.19
Van der Meer et al. (2017),430,50.8
Van der Meer et al. (2017),420,35.03
Van der Meer et al. (2017),410,53.02
Van der Meer et al. (2017),400,70.89
Van der Meer et al. (2017),390,84.75
Van der Meer et al. (2017),380,81.16
Van der Meer et al. (2017),370,74.02
Van der Meer et al. (2017),360,66.31
Van der Meer et al. (2017),350,79.54
Van der Meer et al. (2017),340,94
Van der Meer et al. (2017),330,73.5
Van der Meer et al. (2017),320,57.64
Van der Meer et al. (2017),310,55.64
Van der Meer et al. (2017),300,64.35
Van der Meer et al. (2017),290,81.11
Van der Meer et al. (2017),280,74.4
Van der Meer et al. (2017),270,75.25
Van der Meer et al. (2017),260,79.47
Van der Meer et al. (2017),250,29.98
Van der Meer et al. (2017),240,18.44
Van der Meer et al. (2017),230,11.95
Van der Meer et al. (2017),220,4.14
Van der Meer et al. (2017),210,20.48
Van der Meer et al. (2017),200,45.13
Van der Meer et al. (2017),190,63.5
Van der Meer et al. (2017),180,73.55
Van der Meer et al. (2017),170,81.44
Van der Meer et al. (2017),160,104.98
Van der Meer et al. (2017),150,98.32
Van der Meer et al. (2017),140,92.76
Van der Meer et al. (2017),130,90.88
Van der Meer et al. (2017),120,106.72
Van der Meer et al. (2017),110,108.62
Van der Meer et al. (2017),100,110.72
Van der Meer et al. (2017),90,110.41
Van der Meer et al. (2017),80,91.54
Van der Meer et al. (2017),70,69.37
Van der Meer et al. (2017),60,70.4
Van der Meer et al. (2017),50,75.78
Van der Meer et al. (2017),40,66.36
Van der Meer et al. (2017),30,44.97
Van der Meer et al. (2017),20,16.96
Van der Meer et al. (2017),10,2.34
Van der Meer et al. (2017),0,1.91
Kocsis & Scotese (2020),520,181.48
Kocsis & Scotese (2020),510,166.25
Kocsis & Scotese (2020),500,191.63
Kocsis & Scotese (2020),490,203.05
Kocsis & Scotese (2020),480,250.01
Kocsis & Scotese (2020),470,218.28
Kocsis & Scotese (2020),460,237.32
Kocsis & Scotese (2020),450,239.86
Kocsis & Scotese (2020),440,191.63
Kocsis & Scotese (2020),430,288.08
Kocsis & Scotese (2020),420,302.04
Kocsis & Scotese (2020),410,225.9
Kocsis & Scotese (2020),400,248.74
Kocsis & Scotese (2020),390,220.82
Kocsis & Scotese (2020),380,296.97
Kocsis & Scotese (2020),370,293.16
Kocsis & Scotese (2020),360,270.31
Kocsis & Scotese (2020),350,223.36
Kocsis & Scotese (2020),340,186.55
Kocsis & Scotese (2020),330,178.94
Kocsis & Scotese (2020),320,144.67
Kocsis & Scotese (2020),310,92.64
Kocsis & Scotese (2020),300,135.79
Kocsis & Scotese (2020),290,157.37
Kocsis & Scotese (2020),280,130.71
Kocsis & Scotese (2020),270,118.02
Kocsis & Scotese (2020),260,157.37
Kocsis & Scotese (2020),250,55.84
Kocsis & Scotese (2020),240,104.06
Kocsis & Scotese (2020),230,85.03
Kocsis & Scotese (2020),220,115.49
Kocsis & Scotese (2020),210,59.65
Kocsis & Scotese (2020),200,43.15
Kocsis & Scotese (2020),190,5.07
Kocsis & Scotese (2020),180,-44.42
Kocsis & Scotese (2020),170,24.11
Kocsis & Scotese (2020),160,134.52
Kocsis & Scotese (2020),150,20.3
Kocsis & Scotese (2020),140,29.19
Kocsis & Scotese (2020),130,-2.54
Kocsis & Scotese (2020),120,163.71
Kocsis & Scotese (2020),110,86.3
Kocsis & Scotese (2020),100,129.45
Kocsis & Scotese (2020),90,185.29
Kocsis & Scotese (2020),80,261.43
Kocsis & Scotese (2020),70,142.14
Kocsis & Scotese (2020),60,60.91
Kocsis & Scotese (2020),50,128.18
Kocsis & Scotese (2020),40,22.84
Kocsis & Scotese (2020),30,-35.54
Kocsis & Scotese (2020),20,-11.42
Kocsis & Scotese (2020),10,-38.07
Kocsis & Scotese (2020),0,0
Verard (2015),520,66.55
Verard (2015),510,82.67
Verard (2015),500,105.95
Verard (2015),490,97.91
Verard (2015),480,130.13
Verard (2015),470,161.46
Verard (2015),460,139.11
Verard (2015),450,114.97
Verard (2015),440,100.67
Verard (2015),430,110.53
Verard (2015),420,122.18
Verard (2015),410,106.09
Verard (2015),400,105.21
Verard (2015),390,107.91
Verard (2015),380,102.56
Verard (2015),370,88.26
Verard (2015),360,67.7
Verard (2015),350,27.46
Verard (2015),340,-24.41
Verard (2015),330,-42.29
Verard (2015),320,14.98
Verard (2015),310,22.16
Verard (2015),300,-24.35
Verard (2015),290,-39.54
Verard (2015),280,-27
Verard (2015),270,-15.35
Verard (2015),260,-33.23
Verard (2015),250,-43.05
Verard (2015),240,20.48
Verard (2015),230,103.7
Verard (2015),220,92.09
Verard (2015),210,99.26
Verard (2015),200,77.81
Verard (2015),190,16.99
Verard (2015),180,-31.31
Verard (2015),170,-37.56
Verard (2015),160,6.3
Verard (2015),150,40.31
Verard (2015),140,76.11
Verard (2015),130,135.17
Verard (2015),120,198.71
Verard (2015),110,186.2
Verard (2015),100,210.37
Verard (2015),90,225.6
Verard (2015),80,194.3
Verard (2015),70,184.47
Verard (2015),60,159.44
Verard (2015),50,131.73
Verard (2015),40,96.85
Verard (2015),30,60.19
Verard (2015),20,39.63
Verard (2015),10,10.12
Verard (2015),0,7.45
