unit_id,parent_unit_id,unit_name,strat_index,rank_id,start_age_ma,end_age_ma,start_age_err_ma,font_color,cmyk,cyan,magenta,yellow,black,rgb,red,green,blue,html_rgb_hash,standard_sort
194,92,Meghalayan,Q2m,8,0,0.0042,,Black,0/10/5/0,0,10,5,0,253/237/236,253,237,236,#FDEDEC,1
92,81,Upper/Late Holocene,Q2-3,7,0,0.0042,,Black,0/10/5/0,0,10,5,0,253/237/236,253,237,236,#FDEDEC,2
193,91,Northgrippian,Q2n,8,0.0042,0.0082,,Black,0/10/10/0,0,10,10,0,253/236/228,253,236,228,#FDECE4,3
91,81,Middle Holocene,Q2-2,7,0.0042,0.0082,,Black,0/10/10/0,0,10,10,0,253/236/228,253,236,228,#FDECE4,4
192,90,Greenlandian,Q2g,8,0.0082,0.0117,,Black,0/10/15/0,0,10,15,0,254/236/219,254,236,219,#FEECDB,5
90,81,Lower/Early Holocene,Q2-1,7,0.0082,0.0117,,Black,0/10/15/0,0,10,15,0,254/236/219,254,236,219,#FEECDB,6
81,41,Holocene,Q2,6,0,0.0117,,Black,0/10/20/0,0,10,20,0,254/235/210,254,235,210,#FEEBD2,7
191,89,Upper Pleistocene,Q1-2,8,0.0117,0.129,,Black,0/5/15/0,0,5,15,0,255/242/211,255,242,211,#FFF2D3,8
89,80,Upper/Late Pleistocene,Q1-3,7,0.0117,0.129,,Black,0/5/15/0,0,5,15,0,255/242/211,255,242,211,#FFF2D3,9
190,88,Chibanian,Q1ch,8,0.129,0.774,,Black,0/5/20/0,0,5,20,0,255/242/199,255,242,199,#FFF2C7,10
88,80,Middle Pleistocene,Q1-2,7,0.129,0.774,,Black,0/5/20/0,0,5,20,0,255/242/199,255,242,199,#FFF2C7,11
189,87,Calabrian,Q1c,8,0.774,1.8,,Black,0/5/25/0,0,5,25,0,255/242/186,255,242,186,#FFF2BA,12
188,87,Gelasian,Q1g,8,1.8,2.58,,Black,0/5/30/0,0,5,30,0,255/237/179,255,237,179,#FFEDB3,13
87,80,Lower/Early Pleistocene,Q1-1,7,0.774,2.58,,Black,0/5/35/0,0,5,35,0,255/240/185,255,240,185,#FFF0B9,14
80,41,Pleistocene,Q1,6,0.0117,2.58,,Black,0/5/40/0,0,5,40,0,255/239/175,255,239,175,#FFEFAF,15
41,15,Quaternary,Q,5,0,2.58,,Black,0/0/50/0,0,0,50,0,249/249/127,249,249,127,#F9F97F,16
187,86,Piacenzian,N2p,8,2.58,3.6,,Black,0/0/25/0,0,0,25,0,255/255/191,255,255,191,#FFFFBF,17
86,79,Upper/Late Pliocene,N2-2,7,2.58,3.6,,Black,0/5/25/0,0,5,25,0,255/242/205,255,242,205,#FFF2CD,18
186,85,Zanclean,N2z,8,3.6,5.333,,Black,0/0/30/0,0,0,30,0,255/255/179,255,255,179,#FFFFB3,19
85,79,Lower/Early Pliocene,N2-1,7,3.6,5.333,,Black,0/5/30/0,0,5,30,0,255/242/195,255,242,195,#FFF2C3,20
79,40,Pliocene,N2,6,2.58,5.333,,Black,0/0/40/0,0,0,40,0,255/255/153,255,255,153,#FFFF99,21
185,84,Messinian,N1m,8,5.333,7.246,,Black,0/0/55/0,0,0,55,0,255/255/115,255,255,115,#FFFF73,22
184,84,Tortonian,N1t,8,7.246,11.63,,Black,0/0/60/0,0,0,60,0,255/255/102,255,255,102,#FFFF66,23
84,78,Upper/Late Miocene,N1-3,7,5.333,11.63,,Black,0/5/55/0,0,5,55,0,255/236/140,255,236,140,#FFEC8C,24
183,83,Serravallian,N1s,8,11.63,13.82,,Black,0/0/65/0,0,0,65,0,255/255/89,255,255,89,#FFFF59,25
182,83,Langhian,N1l,8,13.82,15.98,,Black,0/0/70/0,0,0,70,0,255/255/77,255,255,77,#FFFF4D,26
83,78,Middle Miocene,N1-2,7,11.63,15.98,,Black,0/5/65/0,0,5,65,0,255/236/115,255,236,115,#FFEC73,27
181,82,Burdigalian,N1b,8,15.98,20.44,,Black,0/0/75/0,0,0,75,0,255/255/65,255,255,65,#FFFF41,28
180,82,Aquitanian,N1a,8,20.44,23.03,,Black,0/0/80/0,0,0,80,0,255/255/51,255,255,51,#FFFF33,29
82,78,Lower/Early Miocene,N1-1,7,15.98,23.03,,Black,0/5/75/0,0,5,75,0,255/236/85,255,236,85,#FFEC55,30
78,40,Miocene,N1,6,5.333,23.03,,Black,0/0/100/0,0,0,100,0,255/255/0,255,255,0,#FFFF00,31
40,15,Neogene,N,5,2.58,23.03,,Black,0/10/90/0,0,10,90,0,255/230/25,255,230,25,#FFE619,32
179,77,Chattian,Pg3ch,8,23.03,27.82,,Black,0/10/30/0,0,10,30,0,254/230/170,254,230,170,#FEE6AA,33
178,77,Rupelian,Pg3r,8,27.82,33.9,,Black,0/15/35/0,0,15,35,0,254/217/154,254,217,154,#FED99A,34
77,39,Oligocene,Pg3,6,23.03,33.9,,Black,0/25/45/0,0,25,45,0,254/192/122,254,192,122,#FEC07A,35
177,76,Priabonian,Pg2p,8,33.9,37.71,,Black,0/20/30/0,0,20,30,0,253/205/161,253,205,161,#FDCDA1,36
176,76,Bartonian,Pg2b,8,37.71,41.2,,Black,0/25/35/0,0,25,35,0,253/192/145,253,192,145,#FDC091,37
175,76,Lutetian,Pg2l,8,41.2,47.8,,Black,0/30/40/0,0,30,40,0,253/180/130,253,180,130,#FDB482,38
174,76,Ypresian,Pg2y,8,47.8,56,,Black,0/35/45/0,0,35,45,0,252/167/115,252,167,115,#FCA773,39
76,39,Eocene,Pg2,6,33.9,56,,Black,0/30/50/0,0,30,50,0,253/180/108,253,180,108,#FDB46C,40
173,75,Thanetian,Pg1t,8,56,59.2,,Black,0/25/50/0,0,25,50,0,253/191/111,253,191,111,#FDBF6F,41
172,75,Selandian,Pg1s,8,59.2,61.6,,Black,0/25/55/0,0,25,55,0,254/191/101,254,191,101,#FEBF65,42
171,75,Danian,Pg1d,8,61.6,66,,Black,0/30/55/0,0,30,55,0,253/180/98,253,180,98,#FDB462,43
75,39,Paleocene,Pg1,6,56,66,,Black,0/40/60/0,0,40,60,0,253/167/95,253,167,95,#FDA75F,44
39,15,Paleogene,Pg,5,23.03,66,,Black,5/0/90/0,5,0,90,0,253/154/82,253,154,82,#FD9A52,45
15,5,Cenozoic,KZ,4,0,66,,Black,40/0/5/0,40,0,5,0,242/249/29,242,249,29,#F2F91D,46
170,74,Maastrichtian,K2m,8,66,72.1,,Black,5/0/45/0,5,0,45,0,242/250/140,242,250,140,#F2FA8C,47
169,74,Campanian,K2km,8,72.1,83.6,0.2,Black,10/0/50/0,10,0,50,0,230/244/127,230,244,127,#E6F47F,48
168,74,Santonian,K2st,8,83.6,86.3,0.2,Black,15/0/55/0,15,0,55,0,217/239/116,217,239,116,#D9EF74,49
167,74,Coniacian,K2k,8,86.3,89.8,0.5,Black,20/0/60/0,20,0,60,0,204/233/104,204,233,104,#CCE968,50
166,74,Turonian,K2t,8,89.8,93.9,0.3,Black,25/0/65/0,25,0,65,0,191/227/93,191,227,93,#BFE35D,51
165,74,Cenomanian,K2s,8,93.9,100.5,,Black,30/0/70/0,30,0,70,0,179/222/83,179,222,83,#B3DE53,52
74,38,Upper Cretaceous,K2,6,66,100.5,,Black,35/0/75/0,35,0,75,0,166/216/74,166,216,74,#A6D84A,53
164,73,Albian,K1al,8,100.5,113,,Black,20/0/40/0,20,0,40,0,204/234/151,204,234,151,#CCEA97,54
163,73,Aptian,K1a,8,113,121.4,,Black,25/0/45/0,25,0,45,0,191/228/138,191,228,138,#BFE48A,55
162,73,Barremian,K1br,8,121.4,125.77,,Black,30/0/50/0,30,0,50,0,179/223/127,179,223,127,#B3DF7F,56
161,73,Hauterivian,K1g,8,125.77,132.6,,Black,35/0/55/0,35,0,55,0,166/217/117,166,217,117,#A6D975,57
160,73,Valanginian,K1v,8,132.6,139.8,,Black,40/0/60/0,40,0,60,0,153/211/106,153,211,106,#99D36A,58
159,73,Berriasian,K1b,8,139.8,145,,Black,45/0/65/0,45,0,65,0,140/205/96,140,205,96,#8CCD60,59
73,38,Lower Cretaceous,K1,6,100.5,145,,Black,45/0/70/0,45,0,70,0,140/205/87,140,205,87,#8CCD57,60
38,14,Cretaceous,K,5,66,145,,Black,50/0/75/0,50,0,75,0,127/198/78,127,198,78,#7FC64E,61
158,72,Tithonian,J3t,8,145,149.2,,Black,15/0/0/0,15,0,0,0,217/241/247,217,241,247,#D9F1F7,62
157,72,Kimmeridgian,J3km,8,149.2,154.8,0.7,Black,20/0/0/0,20,0,0,0,204/236/244,204,236,244,#CCECF4,63
156,72,Oxfordian,J3o,8,154.8,161.5,0.8,Black,25/0/0/0,25,0,0,0,191/231/241,191,231,241,#BFE7F1,64
72,37,Upper Jurassic,J3,6,145,161.5,,Black,30/0/0/0,30,0,0,0,179/227/238,179,227,238,#B3E3EE,65
155,71,Callovian,J2k,8,161.5,165.3,1,Black,25/0/5/0,25,0,5,0,191/231/229,191,231,229,#BFE7E5,66
154,71,Bathonian,J2bt,8,165.3,168.2,1.1,Black,30/0/5/0,30,0,5,0,179/226/227,179,226,227,#B3E2E3,67
153,71,Bajocian,J2b,8,168.2,170.9,1.2,Black,35/0/5/0,35,0,5,0,166/221/224,166,221,224,#A6DDE0,68
152,71,Aalenian,J2a,8,170.9,174.7,0.8,Black,40/0/5/0,40,0,5,0,154/217/221,154,217,221,#9AD9DD,69
71,37,Middle Jurassic,J2,6,161.5,174.7,1,Black,50/0/5/0,50,0,5,0,128/207/216,128,207,216,#80CFD8,70
151,70,Toarcian,J1t,8,174.7,184.2,0.8,Black,40/5/0/0,40,5,0,0,153/206/227,153,206,227,#99CEE3,71
150,70,Pliensbachian,J1p,8,184.2,192.9,0.3,White,50/5/0/0,50,5,0,0,128/197/221,128,197,221,#80C5DD,72
149,70,Sinemurian,J1s,8,192.9,199.5,0.3,White,60/5/0/0,60,5,0,0,103/188/216,103,188,216,#67BCD8,73
148,70,Hettangian,J1h,8,199.5,201.4,0.3,White,70/5/0/0,70,5,0,0,78/179/211,78,179,211,#4EB3D3,74
70,37,Lower Jurassic,J1,6,174.7,201.4,0.8,White,75/5/0/0,75,5,0,0,66/174/208,66,174,208,#42AED0,75
37,14,Jurassic,J,5,145,201.4,,White,80/0/5/0,80,0,5,0,52/178/201,52,178,201,#34B2C9,76
147,69,Rhaetian,T3r,8,201.4,208.5,0.2,Black,10/25/0/0,10,25,0,0,227/185/219,227,185,219,#E3B9DB,77
146,69,Norian,T3n,8,208.5,227,,Black,15/30/0/0,15,30,0,0,214/170/211,214,170,211,#D6AAD3,78
145,69,Carnian,T3c,8,227,237,,Black,20/35/0/0,20,35,0,0,201/155/203,201,155,203,#C99BCB,79
69,36,Upper Triassic,T3,6,201.4,237,0.2,White,25/40/0/0,25,40,0,0,189/140/195,189,140,195,#BD8CC3,80
144,68,Ladinian,T2l,8,237,242,,White,20/45/0/0,20,45,0,0,201/131/191,201,131,191,#C983BF,81
143,68,Anisian,T2a,8,242,247.2,,White,25/50/0/0,25,50,0,0,188/117/183,188,117,183,#BC75B7,82
68,36,Middle Triassic,T2,6,237,247.2,,White,30/55/0/0,30,55,0,0,177/104/177,177,104,177,#B168B1,83
142,67,Olenekian,T1o,8,247.2,251.2,,White,30/65/0/0,30,65,0,0,176/81/165,176,81,165,#B051A5,84
141,67,Induan,T1i,8,251.2,251.902,,White,35/70/0/0,35,70,0,0,164/70/159,164,70,159,#A4469F,85
67,36,Lower Triassic,T1,6,247.2,251.902,,White,40/75/0/0,40,75,0,0,152/57/153,152,57,153,#983999,86
36,14,Triassic,T,5,201.4,251.902,0.2,White,50/80/0/0,50,80,0,0,129/43/146,129,43,146,#812B92,87
14,5,Mesozoic,MZ,4,66,251.902,,Black,60/0/10/0,60,0,10,0,103/197/202,103,197,202,#67C5CA,88
140,66,Changhsingian,P3ch,8,251.902,254.14,0.024,Black,0/25/20/0,0,25,20,0,252/192/178,252,192,178,#FCC0B2,89
139,66,Wuchiapingian,P3w,8,254.14,259.51,0.07,Black,0/30/25/0,0,30,25,0,252/180/162,252,180,162,#FCB4A2,90
66,35,Lopingian,P3,6,251.902,259.51,0.024,Black,0/35/30/0,0,35,30,0,251/167/148,251,167,148,#FBA794,91
138,65,Capitanian,P2c,8,259.51,264.28,0.21,Black,0/40/35/0,0,40,35,0,251/154/133,251,154,133,#FB9A85,92
137,65,Wordian,P2w,8,264.28,266.9,0.16,Black,0/45/40/0,0,45,40,0,251/141/118,251,141,118,#FB8D76,93
